df,DCF_value,RIM_value,DDM_value,g,NP_latest
7150,-5957.807052265526,20672.51818181818,488.2465968058942,0.02,4334240000
7161,147044.84613798308,28211.486363636373,5198.101200421779,0.02,39697943335
8349,25231.222117803994,55795.78636363636,1891.0712492801208,0.02,11126656710
8365,391.5842984537917,42117.086363636365,1243.8642854370416,0.02,9228258000
8383,66346.52753445359,61507.968181818185,1794.9934008774806,0.02,13063142484
8416,-3145.5462354779993,82114.34545454546,2012.0147960294412,0.02,9578888000
8537,-16593.63760542319,103325.38636363637,2065.212359114178,0.02,12398734800
8542,-44107.55045014272,74711.15,2587.6858305995124,0.02,13489279650
8562,7398.856730136783,28906.595454545455,563.0265341342147,0.02,8201500000
8563,2935.481668204137,55037.84090909091,1695.4519984454432,0.02,9398740000
