年度,D,DU,D_cost,N,P,NP,rE,WACC,FCF,PV_FCF
2015,2156566,2096,9.719155360883924e-4,8416000,1395,11740.32,0.0512,6e-4,34575,-37394.26
2016,2214762,2067,9.332831247781929e-4,8416000,1426,12001.22,0.0512,6e-4,-139128,-35927.22
2017,2227197,1394,6.258988315806819e-4,8416000,1370,11529.92,0.0512,6e-4,-22172,-34517.74
2018,2169579,870,4.009994565765985e-4,8416000,1380,11614.08,0.0512,6e-4,-96224,-33163.56
2019,2172991,596,2.7427633156326925e-4,8416000,658,5537.73,0.0512,4e-4,-158255,-31862.5
2020,2137169,447,2.0915519549460056e-4,8416000,661,5562.98,0.0512,4e-4,-42413,-30612.48
2021,2328267,348,1.4946739355924384e-4,8416000,619,5209.5,0.0512,4e-4,181839,-29411.51
2022,2390156,249,1.0417730056113492e-4,8416000,543,4569.89,0.0512,4e-4,36947,-28257.65
2023,2375740,197,8.292153181745477e-5,8416000,460,3871.36,0.0512,4e-4,-39516,-27149.05
2024,2398571,253,1.0547947090163268e-4,8416000,515,4334.24,0.0512,4e-4,-143765,-26083.95
